,frequency,velocity,power
0.0h4.0m53.08857764955215sX39.0d45.0m18.587260164525787s,1420.321,-17888.338201081755,3.303
0.0h5.0m58.225828234220316sX39.0d45.0m18.432717898949136s,1420.321,-17888.338201081755,4.131055555555556
0.0h12.0m21.899190091310885sX39.0d45.0m18.876645781998036s,1420.317,-18732.634325765768,3.960277777777778
0.0h13.0m27.331135616809377sX39.0d45.0m18.794342088307303s,1420.311,-19999.0829705728,4.7364999999999995
0.0h19.0m50.89726757799376sX39.0d45.0m19.621895328450023s,1420.314,-19365.857979471344,4.105722222222222
0.0h20.0m56.07695702872441sX39.0d45.0m19.611168280272295s,1420.302,-21898.765967753145,4.4237222222222226
0.0h28.0m24.661675659629267sX39.0d45.0m20.881891277383602s,1420.298,-22743.07338544019,2.688388888888888
0.0h35.0m53.468606046341165sX39.0d45.0m22.60632920349508s,1420.297,-22954.15061133399,4.551944444444445
0.0h43.0m22.080065430679667sX39.0d45.0m24.781073372767537s,1420.303,-21687.689484753493,4.656888888888888
0.0h50.0m50.75211352609003sX39.0d45.0m27.404834759917662s,1420.286,-25276.0099033472,5.402055555555555
0.0h58.0m19.454097383801212sX39.0d45.0m30.474762784783138s,1420.29,-24431.695353237224,4.465833333333333
1.0h5.0m48.058782640930886sX39.0d45.0m33.986603380108704s,1420.286,-25276.0099033472,4.003555555555555
1.0h13.0m17.026871501952314sX39.0d45.0m37.94059550175746s,1420.284,-25698.16806993841,4.653499999999999
1.0h20.0m45.73010782099324sX39.0d45.0m42.32712152742124s,1420.282,-26120.326830964772,5.795888888888889
1.0h28.0m14.632451522639585sX39.0d45.0m47.145924347361756s,1420.282,-26120.326830964772,3.6326111111111112
1.0h35.0m43.13684074636569sX39.0d45.0m52.38515886367168s,1420.274,-27808.967818589528,5.1850000000000005
1.0h43.0m11.95192622579583sX39.0d45.0m58.04737150600374s,1420.27,-28653.291878563414,5.1627777777777775
1.0h50.0m40.85429221505393sX39.0d46.0m4.124241666615944s,1420.27,-28653.291878563414,7.023666666666666
1.0h58.0m9.753636729910369sX39.0d46.0m10.608159027423767s,1420.266,-29497.618316044878,5.6513333333333335
